"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"637","RT @hstapanghosh: Ha ha ha! @narendramodi is a great unifyer. With his #SurgicalStrikeonBlackMoney he united Mulayam, Mayabati&amp; Mamata. But…",FALSE,0,NA,2016-11-13 07:37:51,FALSE,NA,"797705016475648000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tweetamit07",37,TRUE,FALSE,NA,NA
"638","RT @KiranKS: Came to fight corruption.. but hugged Lalu.
Came to fight black money.. now speaking against #SurgicalStrikeonBlackMoney.

Wha…",FALSE,0,NA,2016-11-13 07:37:23,FALSE,NA,"797704902025711616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dipakrege",138,TRUE,FALSE,NA,NA
"639","RT @dhaval241086: This proves how successful #SurgicalStrikeonBlackMoney was by PM Modi. All thugs and black money holders are frustrated &amp;…",FALSE,0,NA,2016-11-13 07:37:13,FALSE,NA,"797704857649954816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tweetamit07",88,TRUE,FALSE,NA,NA
"640","<U+0926><U+0942><U+0938><U+0930><U+094B> <U+0915><U+0947> <U+092C><U+0947><U+0902><U+0915> <U+0916><U+093E><U+0924><U+0947> <U+092E><U+0947><U+0902> <U+092A><U+0948><U+0938><U+0947> <U+092D><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932><U+094B> <U+0906><U+092A><U+0915><U+0940> <U+0916><U+0947><U+0930> <U+0928><U+0939><U+0940>:PM Modi
#BlackMoney #SurgicalStrikeonBlackMoney 
#Pmo #Modi #ModiFightsCorruption",FALSE,0,NA,2016-11-13 07:37:04,FALSE,NA,"797704820547166208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nikesh_pandya",0,FALSE,FALSE,NA,NA
"641","Do you think fake currency and black money is behind terrorist activities in Bengal? Let us know. #UPFight… https://t.co/hSH5xgLj29",FALSE,20,"myvotetoday",2016-11-13 07:36:40,TRUE,"797689759950729216","797704718021578753","3683007026","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","myvotetoday",10,FALSE,FALSE,NA,NA
"642","RT @_TanyaRawat_: #IndiaFightsCorruption #IndiaFightsBlackMoney #currencyban #SurgicalStrikeonBlackMoney #WeStandWithModi https://t.co/4kjC…",FALSE,0,NA,2016-11-13 07:35:56,FALSE,NA,"797704537330982912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tanzy_Rawat",1,TRUE,FALSE,NA,NA
"643","RT @MinhazMerchant: #SurgicalStrikeonBlackMoney could cut budget deficit by Rs 3 lakh crore, boost GDP, raise tax rev &amp; strengthen econ htt…",FALSE,0,NA,2016-11-13 07:35:34,FALSE,NA,"797704444179660800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tweetamit07",357,TRUE,FALSE,NA,NA
"644","RT @MinhazMerchant: Political parties hoarding black cash pre-poll in Punjab, UP &amp; Goa fume over #SurgicalStrikeonBlackMoney. Giveaway: whi…",FALSE,0,NA,2016-11-13 07:35:32,FALSE,NA,"797704434960646144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tweetamit07",321,TRUE,FALSE,NA,NA
"645","RT @SukhSandhu: This is not OK #DeMonetisation
#SurgicalStrikeonBlackMoney #SurgicalStrikeOnCorruption #<U+091C><U+0928><U+0924><U+093E>_<U+0924><U+094D><U+0930><U+0938><U+094D><U+0924>_<U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930><U+0940>_<U+092E><U+0938><U+094D><U+0924> 
Poor…",FALSE,0,NA,2016-11-13 07:35:11,FALSE,NA,"797704344564953088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","i1tdvcrm",333,TRUE,FALSE,NA,NA
"646","RT @SukhSandhu: This is not OK #DeMonetisation
#SurgicalStrikeonBlackMoney #SurgicalStrikeOnCorruption #<U+091C><U+0928><U+0924><U+093E>_<U+0924><U+094D><U+0930><U+0938><U+094D><U+0924>_<U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930><U+0940>_<U+092E><U+0938><U+094D><U+0924> 
Poor…",FALSE,0,NA,2016-11-13 07:34:54,FALSE,NA,"797704276843692032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","phe6r018",333,TRUE,FALSE,NA,NA
